run,lambda,R,theta_net_deg
1,3.1187755436965396,0.04395238919380484,57.714958155229844
2,6.218395584862282,0.046521984623847046,28.9463733118205
3,10.515330308871272,0.04413057948074539,17.1178645570594
4,6.833381072738766,0.31221229030940933,26.341279387753712
5,7.183221628517189,0.06540900194270871,25.058394312296453
6,6.348357655296402,0.23570663172685202,28.35379003100541
7,9.649851934606406,0.31884362223739227,18.653135946519757
8,4.841860869035425,0.5197326064403874,37.175789405914685
9,3.841728803294874,0.32014123461981636,46.85390594089367
10,3.1770054738339866,0.12683542992897867,56.657126178249015
11,4.911919705860153,0.02143129279972078,36.645550167534594
12,4.834917338088483,0.002407118517353757,37.22917837332958
13,4.522562252884657,0.1813687859897526,39.80044716580504
14,8.067574611323707,0.003604899715888732,22.311538308843243
15,15.153775273824536,0.09127820584226032,11.878228147603464
16,4.231507305256477,0.04188095938563219,42.53803361662636
17,5.5866928169113645,0.001816538181095284,32.219419592057335
18,7.83269698909203,0.0427974888189786,22.980590242501606
19,10.556428108130458,0.18774524312499452,17.051222075899492
20,6.770888524975008,0.2661934095881312,26.58439868505506
21,3.865145931980089,0.22624808915245254,46.570039829721814
22,5.303016722352837,0.0002783743123546678,33.942944068284554
23,5.9719299824503915,0.8526785260760619,30.141009778909485
24,4.913522978845062,0.3756499947155695,36.6335927958374
25,4.665211177234771,0.07108177130585347,38.5834623903761
26,3.4165320694893797,0.0730340105072711,52.685002317833366
27,8.72585990460726,0.014454268785094038,20.62833943792289
28,3.2126245276533836,0.00032621323960457804,56.02895652778897
29,4.7557322510900315,0.19268945200037013,37.84906098503408
30,5.579533851855814,0.13639377808219588,32.26075955075172
31,4.7653990022483095,0.02512194504129428,37.772283058580456
32,5.241621354758094,0.11860617487748693,34.34051943424043
33,7.498568718858411,0.07678319509157883,24.00458097387462
34,4.541248143441271,0.02672747522299712,39.63668011843093
35,7.37685713727527,0.016977574018717245,24.400635209601628
36,4.9208965463323775,0.038743907002301015,36.578700304959035
37,2.5612665323060178,0.05564303118811398,70.27773085292232
38,3.3838923911259116,0.10102079830129596,53.19318086829268
39,6.936848324980577,0.04190316204144162,25.948383410920837
40,7.181788075556927,0.9650716642743962,25.06339620527462
41,3.7167064350760732,3.076379595512435e-09,48.42997507181806
42,6.826081653408873,0.23739625765274808,26.369447237729702
43,5.8152109967733345,0.053299472148061855,30.953305064919565
44,6.259485545858058,0.013066354936035585,28.756356841355302
45,5.076893769934298,0.24233293199686767,35.454750120235325
46,8.767642996485318,0.003442290505150547,20.53003299429009
47,6.28927240863524,0.11850783125308806,28.62016276363829
48,3.932273804482428,0.27792194736319364,45.77504236729819
49,9.863739457352976,0.7081909701113871,18.248657193172114
50,3.0313774032188223,8.372926431632344e-06,59.37894760608485
51,5.982337449333983,0.027203997373323574,30.08857349229598
52,3.2164275554660424,0.10586392836080849,55.9627092157277
53,3.6402617867081117,0.3433847920132159,49.446993251211744
54,4.242340876116052,0.15781304847394395,42.42940519310499
55,2.9996334093358437,0.25746254145514913,60.00733270931739
56,14.127016296383225,0.46901492772703346,12.741544019177164
57,6.413704516826469,0.5094872063181577,28.064903758470127
58,3.3845097872312024,0.09220833657081862,53.183477465211965
59,4.255384372327293,0.015570696938672524,42.29935165681802
60,11.481062705577438,0.09750651635914953,15.677991194365394
61,7.4425134586745685,0.3866582485810175,24.185377829609738
62,5.312630780692345,0.18494366333080714,33.88151886145988
63,3.077646208920651,0.048686371640186965,58.48625468329158
64,5.601086270078361,0.22031176942996777,32.13662338349981
65,7.500210713063447,0.5306482150193216,23.999325737140435
66,4.293873252140198,0.7145821953712848,41.920194060288686
67,4.574345040966893,0.00586738161792244,39.3498956436292
68,3.3907097531316004,0.152874988783671,53.08623064352682
69,4.398272282504491,0.16318093434577075,40.925160708218655
70,4.551549630975053,0.0005886190972927974,39.546970722900724
71,4.181583647236364,0.00836752971823096,43.0458924620492
72,12.673784865339535,0.1463305445933526,14.202545010233433
73,6.334920559009082,0.14117763321249543,28.41393168601247
74,3.344855093758862,0.001708606083654196,53.81399042842261
75,3.102118557837667,0.01641291810567236,58.024861604731534
76,7.2091388376003716,0.4022173945734755,24.968308150923985
77,10.561379517426603,0.17193204834002096,17.043228084266303
78,5.655742489078753,0.02186379184343168,31.82606003501402
79,10.761773276180332,0.0059904552118665855,16.725868068453426
80,3.6723572280718,0.003908450712946876,49.01483946715892
81,3.132008424771888,0.00035501907564905455,57.47110977618455
82,3.7087904853642755,0.060496122426821675,48.53334280011789
83,4.491326699520451,0.24984918039933512,40.07724488606429
84,3.9832947642745005,0.00875038948145379,45.188722063551424
85,3.8807968932079766,0.08101557126251802,46.38222637083357
86,6.018340362265458,0.34139303444808844,29.908577641867264
87,3.7140992181970818,0.9633787714286919,48.46397186109007
88,6.791811911513083,0.0006830827222232827,26.502500708960227
89,8.42369281535928,0.3020672848106616,21.368300571430893
90,4.306761561869841,0.37261381427804696,41.79474470879471
91,12.402630165592345,0.20353850392942618,14.51305066721735
92,19.260764906222676,0.5898479026923606,9.345423241308888
93,6.379739596055143,0.16908537197050488,28.214317730350853
94,5.496752904575227,0.9695091627555978,32.746605700644984
95,3.569611198935512,0.028247696671302225,50.425659817987324
96,14.213931256630401,0.6122790853573093,12.663632372362505
97,18.058153211796977,0.23858572211703544,9.967796700407334
98,6.324046862829223,0.0344538135327731,28.462787184260748
99,3.7671185986081404,0.18305200452992398,47.78187765750344
100,4.629624197894384,0.9901411787895802,38.88004561620065
