run,R_active,t_to_thr_base,t_to_thr_reset,residual_base,residual_reset
0,2.6645352591003757e-15,0.0,0.0,4.9858063559503085,4.964095080362181
1,2.831068712794149e-15,0.0,0.0,4.939812128514764,4.922262194270781
2,3.885780586188048e-15,0.0,0.0,4.921779127586,4.902332920952084
3,nan,0.0,0.0,3.8740627815400765,3.8740627815400765
4,2.55351295663786e-15,0.0,0.0,4.789940217943945,4.780235547980336
5,nan,0.0,0.0,3.706982933053248,3.706982933053248
6,nan,0.0,0.0,4.559879285404898,4.559879285404898
7,nan,0.0,0.0,3.991478902247288,3.991478902247288
8,2.886579864025407e-15,0.0,0.0,4.7040346057577045,4.701387276968651
9,nan,0.0,0.0,4.182211796289382,4.182211796289382
10,nan,0.0,0.0,4.347835192403167,4.347835192403167
11,nan,0.0,0.0,4.5648436551590255,4.5648436551590255
12,nan,0.0,0.0,4.404667121601593,4.404667121601593
13,nan,0.0,0.0,4.180715917661192,4.180715917661192
14,2.7200464103316335e-15,0.0,0.0,4.922377699564787,4.9089461306849245
15,nan,0.0,0.0,4.314620172663444,4.314620172663444
16,2.6645352591003757e-15,0.0,0.0,4.891198940531561,4.880417361818264
17,nan,0.0,0.0,4.4632262748024845,4.4632262748024845
18,nan,0.0,0.0,4.519255976802782,4.519255976802782
19,nan,0.0,0.0,3.5719520914037117,3.5719520914037117
20,nan,0.0,0.0,4.1814356819407115,4.1814356819407115
21,nan,0.0,0.0,3.871567885576583,3.871567885576583
22,nan,0.0,0.0,4.0327076239391655,4.0327076239391655
23,2.6645352591003757e-15,0.0,0.0,4.786411182838804,4.7777301972291495
24,nan,0.0,0.0,4.162176947853165,4.162176947853165
25,nan,0.0,0.0,3.7502603651682174,3.7502603651682174
26,2.7755575615628914e-15,0.0,0.0,4.741795382032871,4.736472833715993
27,3.7192471324942744e-15,0.0,0.0,4.894840414111721,4.87868492012791
28,2.7755575615628914e-15,0.0,0.0,4.951325676529451,4.930773639445181
29,nan,0.0,0.0,4.444812589304018,4.444812589304018
30,nan,0.0,0.0,4.4462718315629814,4.4462718315629814
31,nan,0.0,0.0,4.331576308826956,4.331576308826956
32,nan,0.0,0.0,4.3360877265780315,4.3360877265780315
33,2.942091015256665e-15,0.0,0.0,4.767530056990427,4.759317542542328
34,nan,0.0,0.0,4.2421749418086865,4.2421749418086865
35,3.552713678800501e-15,0.0,0.0,4.866050007609696,4.851266634602528
36,nan,0.0,0.0,4.580624343076772,4.580624343076772
37,nan,0.0,0.0,3.8994557137418773,3.8994557137418773
38,nan,0.0,0.0,3.876475459024034,3.876475459024034
39,2.886579864025407e-15,0.0,0.0,4.979195008955583,4.957859308081133
40,2.942091015256665e-15,0.0,0.0,4.930688440417791,4.9142688628428655
41,nan,0.0,0.0,4.321328763789189,4.321328763789189
42,nan,0.0,0.0,4.020901467867676,4.020901467867676
43,nan,0.0,0.0,3.7220219209103846,3.7220219209103846
44,2.4980018054066022e-15,0.0,0.0,4.690613341421142,4.690193780604664
45,nan,0.0,0.0,4.293359289556331,4.293359289556331
46,3.219646771412954e-15,0.0,0.0,4.71385709797536,4.710705638323416
47,2.55351295663786e-15,0.0,0.0,4.858266668883174,4.8489266484751505
48,nan,0.0,0.0,4.265348747512592,4.265348747512592
49,nan,0.0,0.0,4.378029478982566,4.378029478982566
50,2.220446049250313e-15,0.0,0.0,4.70700331506031,4.706368517230639
51,nan,0.0,0.0,4.117620765108569,4.117620765108569
52,nan,0.0,0.0,4.198542746155965,4.198542746155965
53,nan,0.0,0.0,3.9054876362431896,3.9054876362431896
54,nan,0.0,0.0,3.5162804173420708,3.5162804173420708
55,nan,0.0,0.0,4.125725563209532,4.125725563209532
56,nan,0.0,0.0,3.756761054156786,3.756761054156786
57,nan,0.0,0.0,4.032601642672269,4.032601642672269
58,nan,0.0,0.0,4.4791265229236314,4.4791265229236314
59,3.9968028886505635e-15,0.0,0.0,5.069827709692942,5.031919910513021
60,nan,0.0,0.0,4.028294329950573,4.028294329950573
61,nan,0.0,0.0,4.593511977681707,4.593511977681707
62,nan,0.0,0.0,4.0238723403139565,4.0238723403139565
63,nan,0.0,0.0,4.311195495422166,4.311195495422166
64,nan,0.0,0.0,4.020843430054299,4.020843430054299
65,3.219646771412954e-15,0.0,0.0,4.749884752506196,4.744982545650734
66,nan,0.0,0.0,4.603053387997387,4.603053387997387
67,nan,0.0,0.0,4.187443424228727,4.187443424228727
68,3.774758283725532e-15,0.0,0.0,4.952045725946796,4.929663035750483
69,nan,0.0,0.0,4.623543245715178,4.623543245715178
70,nan,0.0,0.0,4.253399824127859,4.253399824127859
71,2.9976021664879227e-15,0.0,0.0,4.9002867416513025,4.882198082329887
72,nan,0.0,0.0,3.54741790619545,3.54741790619545
73,nan,0.0,0.0,4.596620584932427,4.596620584932427
74,nan,0.0,0.0,4.1560259709409335,4.1560259709409335
75,nan,0.0,0.0,4.527478333508016,4.527478333508016
76,3.219646771412954e-15,0.0,0.0,5.105414203445692,5.067113661290807
77,2.9976021664879227e-15,0.0,0.0,4.918326752672184,4.900523141071375
78,nan,0.0,0.0,4.42746771039609,4.42746771039609
79,nan,0.0,0.0,4.410793867588753,4.410793867588753
80,2.9976021664879227e-15,0.0,0.0,4.770381153811908,4.761316346637364
81,nan,0.0,0.0,4.419924120859517,4.419924120859517
82,nan,0.0,0.0,4.217125642762258,4.217125642762258
83,nan,0.0,0.0,4.292481158142237,4.292481158142237
84,nan,0.0,0.0,3.3565030937133304,3.3565030937133304
85,nan,0.0,0.0,4.498167596798817,4.498167596798817
86,2.9976021664879227e-15,0.0,0.0,5.05156901068751,5.022397990234072
87,nan,0.0,0.0,4.078886336578841,4.078886336578841
88,nan,0.0,0.0,4.534137811826723,4.534137811826723
89,2.6645352591003757e-15,0.0,0.0,4.81000903379507,4.799382304394859
90,2.886579864025407e-15,0.0,0.0,5.063960629877224,5.035216205861488
91,2.831068712794149e-15,0.0,0.0,4.659245283538154,4.658351465511333
92,nan,0.0,0.0,4.6870604539895915,4.6870604539895915
93,2.7755575615628914e-15,0.0,0.0,5.02698114930677,5.0008052161989855
94,nan,0.0,0.0,3.9465385447477135,3.9465385447477135
95,nan,0.0,0.0,4.505469670124904,4.505469670124904
96,nan,0.0,0.0,4.447721698864433,4.447721698864433
97,nan,0.0,0.0,3.9997353465113696,3.9997353465113696
98,nan,0.0,0.0,4.540848025180489,4.540848025180489
99,nan,0.0,0.0,4.470287413354131,4.470287413354131
100,3.552713678800501e-15,0.0,0.0,5.185515094142122,5.133521137017216
101,2.6645352591003757e-15,0.0,0.0,4.851291763971261,4.842505349744291
102,nan,0.0,0.0,4.183169002022715,4.183169002022715
103,nan,0.0,0.0,4.374550557832503,4.374550557832503
104,nan,0.0,0.0,4.0060532794327655,4.0060532794327655
105,3.9968028886505635e-15,0.0,0.0,5.438352951067491,5.346169670321225
106,nan,0.0,0.0,4.60131393171811,4.60131393171811
107,nan,0.0,0.0,3.8318958403133334,3.8318958403133334
108,2.886579864025407e-15,0.0,0.0,5.050708082208566,5.021741630121512
109,nan,0.0,0.0,3.8324084044582762,3.8324084044582762
110,nan,0.0,0.0,3.9067950387576147,3.9067950387576147
111,nan,0.0,0.0,4.214549593456138,4.214549593456138
112,nan,0.0,0.0,4.582425103817048,4.582425103817048
113,nan,0.0,0.0,4.056813717306974,4.056813717306974
114,nan,0.0,0.0,4.476187368680746,4.476187368680746
115,3.774758283725532e-15,0.0,0.0,4.89057138339167,4.873806714856725
116,nan,0.0,0.0,3.7577411541159282,3.7577411541159282
117,nan,0.0,0.0,4.083384164416261,4.083384164416261
118,nan,0.0,0.0,4.294197456405987,4.294197456405987
119,2.831068712794149e-15,0.0,0.0,4.667669064211304,4.666783386825056
120,3.7192471324942744e-15,0.0,0.0,4.852751872251727,4.837189552384402
121,nan,0.0,0.0,4.278742898195017,4.278742898195017
122,3.3306690738754696e-15,0.0,0.0,5.213340858902094,5.15784195206347
123,nan,0.0,0.0,4.541623056512655,4.541623056512655
124,3.0531133177191805e-15,0.0,0.0,4.7608799769752315,4.754080052336953
125,nan,0.0,0.0,4.012812260693879,4.012812260693879
126,nan,0.0,0.0,4.2748125968675215,4.2748125968675215
127,nan,0.0,0.0,4.608029446868571,4.608029446868571
128,nan,0.0,0.0,4.044291091404204,4.044291091404204
129,nan,0.0,0.0,4.248315332232126,4.248315332232126
130,2.7755575615628914e-15,0.0,0.0,4.7011032271525774,4.698451328868356
131,nan,0.0,0.0,4.465010639809129,4.465010639809129
132,nan,0.0,0.0,4.354813133754412,4.354813133754412
133,3.1086244689504383e-15,0.0,0.0,5.268893385209437,5.2058678379833365
134,2.9976021664879227e-15,0.0,0.0,5.023367939541344,4.995300961096119
135,2.831068712794149e-15,0.0,0.0,4.727680430461053,4.725143417307119
