run,R,t_to_thr_base,t_recover,residual_base,residual,domain
30,,0.0,0.0,4.446271831562981,4.446271831562981,spacecraft
31,,0.0,0.0,4.331576308826956,4.331576308826956,spacecraft
32,,0.0,0.0,4.336087726578032,4.336087726578032,spacecraft
33,2.942091015256665e-15,0.0,0.0,4.767530056990427,4.759317542542328,spacecraft
34,,0.0,0.0,4.242174941808687,4.242174941808687,spacecraft
35,3.552713678800501e-15,0.0,0.0,4.866050007609696,4.851266634602528,spacecraft
36,,0.0,0.0,4.580624343076772,4.580624343076772,spacecraft
37,,0.0,0.0,3.899455713741877,3.899455713741877,spacecraft
38,,0.0,0.0,3.876475459024034,3.876475459024034,spacecraft
39,2.886579864025407e-15,0.0,0.0,4.979195008955583,4.957859308081133,spacecraft
40,2.942091015256665e-15,0.0,0.0,4.930688440417791,4.9142688628428655,spacecraft
41,,0.0,0.0,4.321328763789189,4.321328763789189,spacecraft
42,,0.0,0.0,4.020901467867676,4.020901467867676,spacecraft
43,,0.0,0.0,3.7220219209103846,3.7220219209103846,spacecraft
44,2.4980018054066026e-15,0.0,0.0,4.690613341421142,4.690193780604664,spacecraft
45,,0.0,0.0,4.293359289556331,4.293359289556331,spacecraft
46,3.219646771412954e-15,0.0,0.0,4.71385709797536,4.710705638323416,spacecraft
47,2.55351295663786e-15,0.0,0.0,4.858266668883174,4.848926648475151,spacecraft
48,,0.0,0.0,4.265348747512592,4.265348747512592,spacecraft
49,,0.0,0.0,4.378029478982566,4.378029478982566,spacecraft
50,2.220446049250313e-15,0.0,0.0,4.70700331506031,4.706368517230639,spacecraft
51,,0.0,0.0,4.117620765108569,4.117620765108569,spacecraft
52,,0.0,0.0,4.198542746155965,4.198542746155965,spacecraft
53,,0.0,0.0,3.9054876362431896,3.9054876362431896,spacecraft
54,,0.0,0.0,3.5162804173420708,3.5162804173420708,spacecraft
55,,0.0,0.0,4.125725563209532,4.125725563209532,spacecraft
56,,0.0,0.0,3.756761054156786,3.756761054156786,spacecraft
57,,0.0,0.0,4.032601642672269,4.032601642672269,spacecraft
58,,0.0,0.0,4.479126522923632,4.479126522923632,spacecraft
59,3.996802888650564e-15,0.0,0.0,5.069827709692942,5.031919910513021,spacecraft
60,,0.0,0.0,4.028294329950573,4.028294329950573,spacecraft
61,,0.0,0.0,4.593511977681707,4.593511977681707,spacecraft
62,,0.0,0.0,4.0238723403139565,4.0238723403139565,spacecraft
63,,0.0,0.0,4.311195495422166,4.311195495422166,spacecraft
64,,0.0,0.0,4.020843430054299,4.020843430054299,spacecraft
65,3.219646771412954e-15,0.0,0.0,4.749884752506196,4.744982545650734,spacecraft
66,,0.0,0.0,4.603053387997387,4.603053387997387,spacecraft
67,,0.0,0.0,4.187443424228727,4.187443424228727,spacecraft
68,3.774758283725532e-15,0.0,0.0,4.952045725946796,4.929663035750483,spacecraft
69,,0.0,0.0,4.623543245715178,4.623543245715178,spacecraft
70,,0.0,0.0,4.253399824127859,4.253399824127859,spacecraft
71,2.997602166487923e-15,0.0,0.0,4.900286741651303,4.882198082329887,spacecraft
72,,0.0,0.0,3.54741790619545,3.54741790619545,spacecraft
73,,0.0,0.0,4.596620584932427,4.596620584932427,spacecraft
74,,0.0,0.0,4.1560259709409335,4.1560259709409335,spacecraft
75,,0.0,0.0,4.527478333508016,4.527478333508016,spacecraft
76,3.219646771412954e-15,0.0,0.0,5.105414203445692,5.067113661290807,spacecraft
77,2.997602166487923e-15,0.0,0.0,4.918326752672184,4.900523141071375,spacecraft
78,,0.0,0.0,4.42746771039609,4.42746771039609,spacecraft
79,,0.0,0.0,4.410793867588753,4.410793867588753,spacecraft
80,2.997602166487923e-15,0.0,0.0,4.770381153811908,4.761316346637364,spacecraft
81,,0.0,0.0,4.419924120859517,4.419924120859517,spacecraft
82,,0.0,0.0,4.217125642762258,4.217125642762258,spacecraft
83,,0.0,0.0,4.292481158142237,4.292481158142237,spacecraft
84,,0.0,0.0,3.3565030937133304,3.3565030937133304,spacecraft
85,,0.0,0.0,4.498167596798817,4.498167596798817,spacecraft
86,2.997602166487923e-15,0.0,0.0,5.05156901068751,5.022397990234072,spacecraft
87,,0.0,0.0,4.078886336578841,4.078886336578841,spacecraft
88,,0.0,0.0,4.534137811826723,4.534137811826723,spacecraft
89,2.664535259100376e-15,0.0,0.0,4.81000903379507,4.799382304394859,spacecraft
90,2.886579864025407e-15,0.0,0.0,5.063960629877224,5.035216205861488,spacecraft
91,2.8310687127941488e-15,0.0,0.0,4.659245283538154,4.658351465511333,spacecraft
92,,0.0,0.0,4.687060453989592,4.687060453989592,spacecraft
93,2.7755575615628917e-15,0.0,0.0,5.02698114930677,5.0008052161989855,spacecraft
